LAND SQUARE FEET,GROSS SQUARE FEET, SALE PRICE 
3840,1156,270645
2500,1120,270750
1900,1404,270750
4000,1020,271000
1995,966,271700
2844,1224,274000
3000,1248,274000
2000,944,275000
4000,1025,275000
1791,1152,275000
1975,1432,275000
4000,1718,275000
2575,1880,275000
6000,2319,275000
1900,1248,275500
2100,1752,275500
1900,646,277499
2602,1254,277500
1900,646,280000
1900,756,280000
1908,800,280000
2250,886,280000
2000,1036,280000
2800,1719,280000
2024,1872,280000
2700,2112,280000
2500,1136,280353
2116,952,281000
2000,896,281400
3000,1298,282000
2574,1617,282500
2500,1592,283000
2000,1120,283250
1200,778,283737
2400,680,283920
3800,2275,284934
1600,976,285000
2783,1147,285000
3700,1280,285000
2500,1376,285000
4278,1430,285000
2000,1432,285000
2000,2176,285000
1900,646,286985
2800,2000,287000
3200,1068,287500
2280,1054,289750
5000,730,290000
2025,784,290000
2853,1564,290000
4000,1784,290000
3285,1820,290000
2193,1920,290000
2750,2016,290000
2000,2750,290000
3400,1750,290243
3000,832,290500
4272,1650,292000
3000,1377,294000
2375,1188,295000
2340,1284,295000
3192,1284,295000
4000,1680,295000
3000,1756,295000
2000,1168,296000
2973,1372,296000
2200,1617,296000
3804,926,296270
2000,820,296500
3800,2250,296500
2333,1800,297695
2000,868,299000
2675,1014,299000
4275,1155,299000
2075,854,299130
4067,720,300000
1155,756,300000
4242,768,300000
1400,784,300000
2100,840,300000
2500,870,300000
3800,880,300000
2500,896,300000
2200,924,300000
1551,952,300000
3125,956,300000
3813,1000,300000
3430,1012,300000
1600,1024,300000
3000,1120,300000
1642,1152,300000
1515,1160,300000
2548,1170,300000
4860,1173,300000
2000,1184,300000
2300,1200,300000
2600,1224,300000
1775,1230,300000
2342,1248,300000
2450,1260,300000
2982,1264,300000
3000,1358,300000
4000,1398,300000
2500,1416,300000
3040,1430,300000
1700,1438,300000
2517,1450,300000
2300,1456,300000
3700,1456,300000
3325,1480,300000
5885,1506,300000
3000,1549,300000
2500,1576,300000
2646,1592,300000
3000,1619,300000
3000,1640,300000
2500,1645,300000
2967,1652,300000
3000,1674,300000
3285,1793,300000
3300,1840,300000
4000,1964,300000
2941,1996,300000
2000,2052,300000
1960,2080,300000
2600,2092,300000
2500,2168,300000
3000,2280,300000
10350,2889,300000
2493,3420,300000
2000,995,300202
2500,1344,300500
2000,1552,300500
2250,1530,301000
4000,2400,301400
1900,896,302000
2800,1284,302100
2500,1280,302500
3387,1566,302672
2800,1792,304000
6063,1188,304200
2970,1320,304200
2000,1448,304200
3242,1854,305000
8250,2163,305000
2000,920,305300
2100,812,305549
4000,1400,305900
2151,1380,307000
3500,2651,307500
3000,1442,309000
3800,1280,309232
1980,1386,309270
8038,1877,309873
1615,952,310000
1600,980,310000
1403,1056,310000
2520,1056,310000
2455,1166,310000
3786,1300,310000
4000,1349,310000
2000,1460,310000
2775,1592,310000
2860,1600,310000
2000,900,311000
2600,1488,311575
2230,963,311599
1900,2160,312187
1800,1224,312500
4000,1880,313500
1891,1696,314000
2021,1881,314000
1890,684,315000
2500,980,315000
2000,992,315000
2496,1043,315000
2000,1084,315000
4530,1103,315000
2375,1248,315000
2000,1312,315000
2193,1928,315000
4000,2380,315000
2500,720,316000
3142,2268,316000
3600,676,317000
2000,760,317750
2500,1248,318000
2113,1760,319410
2000,700,320000
2500,704,320000
2000,800,320000
2500,804,320000
4000,1050,320000
1700,1088,320000
4037,1152,320000
3276,1224,320000
1560,1300,320000
3200,1316,320000
1600,1320,320000
1875,1331,320000
2630,1440,320000
4000,1572,320000
9378,1616,320000
5000,1704,320000
4000,1729,320000
3800,1935,320000
3256,3430,320000
1344,864,322350
2000,868,324000
3040,1198,324247
1625,680,325000
1900,704,325000
2850,732,325000
4000,800,325000
1976,840,325000
2000,896,325000
4000,924,325000
2500,960,325000
4144,1095,325000
3000,1100,325000
1600,1120,325000
2000,1120,325000
2042,1152,325000
3742,1258,325000
2500,1288,325000
2900,1514,325000
2358,1552,325000
2500,1568,325000
1642,1651,325000
2090,1666,325000
4000,1680,325000
3100,1760,325000
2533,1978,325000
2167,2772,325000
4000,1132,325157
2000,882,326508
2842,1152,327000
2500,1646,327750
2000,1170,329550
903,1552,329550
1600,1068,329700
2000,896,329729
1878,896,330000
2342,1000,330000
2600,1135,330000
2442,1264,330000
2280,1277,330000
2425,1280,330000
2304,1330,330000
2500,1538,330000
2500,1568,330000
3600,1628,330000
3000,1728,330000
1775,1780,330000
1775,1780,330000
5700,2250,330000
2342,2440,330000
5025,3805,330000
2088,868,330600
2000,896,330746
4000,1300,331550
1742,1296,332500
2000,1376,332500
3142,1428,332500
1422,1170,334519
1976,840,335000
2040,920,335000
3000,928,335000
3300,1060,335000
2520,1395,335000
5551,1599,335000
4000,1560,337000
1900,880,339000
2868,1711,339690
3134,1000,340000
2000,1050,340000
2040,1128,340000
2048,1200,340000
2000,1300,340000
1980,1311,340000
1803,1344,340000
1746,1404,340000
6240,1477,340000
2500,2064,340000
3198,4108,340000
2100,1312,342000
3000,1368,342000
2000,1600,342000
4000,1054,343000
1800,1224,343000
3000,1185,343500
1584,1312,344328
3696,874,344400
3200,830,345000
2500,1112,345000
2200,1168,345000
4000,1176,345000
2270,1328,345000
3482,988,345314
2484,1800,345976
1600,1140,346500
2400,1056,346788
2200,946,346856
3926,1264,347000
2250,1020,347802
2200,1248,348000
3680,1280,349000
4243,2228,349800
3556,1224,349830
1920,1325,349900
2550,640,350000
4000,930,350000
5400,950,350000
2000,960,350000
5880,1031,350000
4000,1128,350000
1782,1152,350000
2942,1152,350000
3000,1152,350000
1230,1160,350000
4000,1196,350000
3775,1200,350000
2280,1217,350000
2800,1224,350000
4000,1232,350000
2400,1264,350000
2000,1296,350000
4000,1302,350000
2000,1308,350000
4800,1320,350000
3142,1324,350000
3400,1344,350000
2066,1360,350000
2506,1392,350000
3240,1408,350000
4000,1430,350000
3560,1436,350000
4000,1440,350000
3290,1520,350000
2346,1596,350000
4000,1659,350000
4725,1675,350000
2567,1680,350000
3000,1688,350000
2475,1848,350000
3012,1890,350000
4000,1891,350000
2293,1950,350000
2102,2108,350000
3300,2112,350000
2000,1120,350250
2867,760,350500
2000,1400,351000
1199,896,354900
1888,1321,354900
2942,1408,354900
2815,2496,354900
3370,2520,354900
2100,812,355000
3200,820,355000
1600,896,355000
2704,928,355000
4000,1050,355000
2000,1170,355000
2000,1170,355000
2800,1376,355000
6000,1388,355000
2853,1564,355000
2367,1568,355000
2358,1702,355000
2650,2160,355000
1840,1144,356000
2456,1152,356000
2000,1184,356000
1456,320,356088
4027,965,356250
2639,1920,356276
1170,1024,356420
2623,800,357000
1395,1018,357000
2923,1100,357250
2730,1264,357250
2387,1152,358000
2000,476,360000
1142,540,360000
2300,800,360000
1328,864,360000
1408,868,360000
2000,896,360000
3800,956,360000
3442,1020,360000
1800,1080,360000
1800,1080,360000
1997,1120,360000
2800,1158,360000
4000,1184,360000
2500,1280,360000
3200,1350,360000
2500,1376,360000
3588,1440,360000
2457,1550,360000
1889,1683,360000
2642,1760,360000
4000,2287,360000
1900,2720,360000
4629,2808,360000
4000,2814,360000
6000,2995,360000
4000,2408,360200
2100,840,360390
2000,952,361466
1916,1200,361500
2450,1650,362900
2500,1094,363004
1800,1224,363500
2000,1244,363575
2550,1932,363750
2000,896,365000
3192,972,365000
2500,1000,365000
3570,1019,365000
1600,1024,365000
3500,1166,365000
2500,1178,365000
1920,1216,365000
1754,1260,365000
7100,1284,365000
3200,1344,365000
2325,1440,365000
2200,1444,365000
2000,1530,365000
2250,1530,365000
2625,1580,365000
3200,1723,365000
3677,1800,365000
5480,2244,365000
4400,2400,365000
1568,2520,365000
2000,1232,365040
1900,898,365442
2000,826,365650
1400,1400,366000
2000,1056,366054
1900,802,367500
2200,1152,367500
2700,1568,367500
1369,2034,367500
2325,1072,368078
4000,2390,368244
1100,1280,369096
2400,960,370000
1650,980,370000
2342,990,370000
2000,1065,370000
2481,1120,370000
3500,1125,370000
2240,1215,370000
3000,1224,370000
3105,1440,370000
2900,1464,370000
1600,2200,370000
2886,1248,370110
1625,1116,370500
3150,1580,371170
2200,1120,372150
3675,1292,372418
1800,754,373000
1380,1280,374000
2000,896,374023
2000,3492,374500
2500,880,375000
1920,912,375000
4000,928,375000
2500,940,375000
2500,1018,375000
3000,1023,375000
4000,1050,375000
4500,1268,375000
2400,1280,375000
5040,1356,375000
2542,1368,375000
2800,1375,375000
3335,1440,375000
2000,1536,375000
3000,1672,375000
2600,1719,375000
3000,1720,375000
2300,1804,375000
1800,1836,375000
3000,1890,375000
2633,2480,375000
3420,2991,375000
2000,1280,375180
3164,1978,375180
3459,2100,375808
2375,1150,376000
3000,1728,376500
2000,1440,377500
2500,1120,378000
3200,1778,378000
1280,1528,379000
2500,1548,379000
3042,2736,379606
3459,1592,379820
1155,703,380000
3018,860,380000
4256,864,380000
2000,1072,380000
2000,1180,380000
3640,1209,380000
1920,1216,380000
3243,1216,380000
1943,1263,380000
2072,1280,380000
4000,1290,380000
3250,1365,380000
5922,1391,380000
2600,1411,380000
2042,1420,380000
3100,1440,380000
4400,1498,380000
3000,1532,380000
2000,1600,380000
2790,1720,380000
3000,1728,380000
5500,1938,380000
4000,2302,380000
3604,2820,380000
1924,3417,380000
2742,5610,380000
2500,1584,380250
3078,996,381771
2342,2440,382500
2500,1216,382530
1867,2080,383183
1667,1176,383250
2000,1308,383500
2000,1505,383500
1900,1254,384000
4662,992,384575
2450,525,385000
2520,1056,385000
2500,1072,385000
3649,1140,385000
2002,1152,385000
5040,1210,385000
4000,1230,385000
2500,1232,385000
2450,1280,385000
3990,1280,385000
4000,1335,385000
5000,1350,385000
2500,1834,385000
2000,2000,385000
2000,2176,385220
5000,1394,386000
6000,1170,386650
3000,2589,387000
1360,1035,387500
3000,1512,387500
4000,1364,388052
1520,1480,389000
4000,1566,389000
2500,1568,389000
4000,1772,389000
4508,1360,389500
988,686,390000
2400,720,390000
2400,901,390000
1981,924,390000
1800,936,390000
1344,960,390000
2000,1022,390000
3600,1096,390000
2400,1296,390000
3045,1323,390000
1875,1378,390000
3700,1436,390000
2900,1498,390000
2342,1512,390000
2150,1688,390000
4000,1764,390000
2650,1846,390000
5700,2296,390000
1600,1441,390500
3180,1056,390515
2375,3250,391668
2800,1105,392500
3833,1970,393250
3400,2672,393343
1800,1728,394000
2500,720,395000
4000,720,395000
2500,788,395000
1900,900,395000
2458,960,395000
2000,1036,395000
1700,1088,395000
2000,1110,395000
2500,1136,395000
2500,1248,395000
1620,1260,395000
3000,1512,395000
3325,1536,395000
1817,1540,395000
2844,2060,395000
2000,1600,395250
4000,1280,395313
2919,1409,395460
2900,1624,395460
4000,922,396500
2000,1125,396500
2100,840,396550
5820,900,397000
5000,1901,397325
2604,1300,397500
4000,1770,397500
2000,945,398000
2000,850,399000
2000,1120,399000
1704,2760,399000
4726,620,400000
3055,630,400000
4000,768,400000
2500,822,400000
3742,864,400000
1681,902,400000
2100,915,400000
4000,960,400000
2200,968,400000
2502,990,400000
3897,1000,400000
2000,1028,400000
2730,1028,400000
1781,1065,400000
4218,1095,400000
2000,1120,400000
3450,1144,400000
2002,1152,400000
4000,1195,400000
3680,1197,400000
4000,1200,400000
2100,1204,400000
1485,1248,400000
2420,1248,400000
2000,1252,400000
1800,1260,400000
4515,1268,400000
2400,1288,400000
4000,1313,400000
3142,1316,400000
3142,1316,400000
1440,1320,400000
2850,1320,400000
2200,1330,400000
3000,1360,400000
4500,1367,400000
2500,1368,400000
4000,1376,400000
4232,1376,400000
3040,1390,400000
2650,1448,400000
2000,1456,400000
4725,1463,400000
4907,1470,400000
3000,1484,400000
3900,1485,400000
4000,1514,400000
3000,1572,400000
2000,1600,400000
5300,1604,400000
3200,1672,400000
3000,1698,400000
3100,1720,400000
2500,1748,400000
1580,1800,400000
3255,1902,400000
3360,1920,400000
2628,1932,400000
3500,2000,400000
2886,2064,400000
10000,2800,400000
4723,3024,400000
1344,864,400974
2000,1120,401000
2400,1280,401000
4000,1768,401000
3647,2040,403000
4563,1008,403720
2500,1400,403750
1600,876,405000
1867,896,405000
3800,1020,405000
4000,1150,405000
3000,1230,405000
3200,1352,405000
3800,1375,405000
6600,1520,405000
3000,1656,405000
3000,1735,405000
4091,1888,405000
3230,3036,405000
4367,1024,405600
2200,1400,405703
1888,1026,406000
4200,2068,406177
2000,896,406800
2000,1296,407000
2500,2000,407300
1350,786,410000
3800,1010,410000
4000,1125,410000
2900,1152,410000
2400,1200,410000
2000,1216,410000
3760,1223,410000
2494,1252,410000
1900,1280,410000
2820,1368,410000
4000,1449,410000
4000,1504,410000
2500,1556,410000
2000,1700,410000
1890,2000,410000
3465,2112,410000
1725,2637,410000
1600,3300,410000
3500,768,410163
1924,2584,410301
4000,1972,410500
2250,1530,410660
2480,2064,410670
4200,900,411403
3200,1284,411732
2500,1328,411957
2450,1024,412000
2500,1120,412000
4360,1400,412000
1082,1468,412000
2500,1400,412450
5500,2208,412650
2792,3246,413500
2808,800,414000
2363,1515,414000
1667,1176,414560
4000,689,415000
1350,786,415000
2200,908,415000
2000,920,415000
3600,930,415000
1849,1054,415000
5000,1080,415000
4000,1174,415000
2375,1188,415000
2750,1224,415000
4000,1286,415000
2500,1296,415000
3783,1332,415000
3670,1475,415000
1935,1592,415000
2944,1689,415000
3168,1968,415000
2673,1592,415382
3800,1364,416000
2200,1694,416150
2000,800,416216
3000,1265,416527
2200,1139,417000
3142,1324,417000
2300,1943,417000
2250,1530,417150
1870,1649,417900
2500,1356,418000
3300,1358,418000
2200,908,418444
1155,723,419000
1408,868,419000
2000,675,420000
1350,676,420000
1350,732,420000
1900,760,420000
2800,900,420000
2376,992,420000
4040,1050,420000
6000,1080,420000
2923,1100,420000
5250,1170,420000
2034,1176,420000
4200,1220,420000
1890,1230,420000
4000,1240,420000
2280,1248,420000
2500,1248,420000
2002,1258,420000
2000,1280,420000
2500,1314,420000
3142,1344,420000
2842,1400,420000
2500,1552,420000
4861,1655,420000
3000,1980,420000
2001,2000,420000
3550,2062,420000
6000,5500,420000
2400,1280,421050
4500,1350,421200
4000,1286,422000
2400,2296,422500
2000,1120,423000
2680,1220,424000
2500,1528,424000
2000,540,425000
4000,873,425000
2500,896,425000
1806,936,425000
2503,950,425000
3349,1008,425000
5000,1012,425000
4400,1082,425000
2311,1120,425000
4648,1130,425000
2231,1224,425000
4400,1248,425000
2358,1280,425000
4000,1296,425000
3000,1302,425000
4880,1313,425000
1650,1344,425000
1953,1368,425000
2307,1392,425000
5000,1406,425000
2500,1512,425000
3000,1556,425000
3000,1584,425000
1959,1712,425000
4000,1800,425000
4650,2120,425000
3499,2190,425000
8000,2464,425000
5388,2526,425000
4000,1110,425880
5000,1157,425880
3200,1414,425880
3000,1610,425880
3522,1800,425880
3000,1248,426000
1800,1296,427000
1900,932,427454
1800,1224,428000
4000,1020,428608
1155,748,429000
3016,1636,429000
2000,630,430000
1500,696,430000
2100,724,430000
3000,725,430000
2000,816,430000
2183,840,430000
2000,896,430000
2500,984,430000
2088,1080,430000
2500,1130,430000
2690,1160,430000
3000,1254,430000
2300,1264,430000
4000,1285,430000
2500,1288,430000
3060,1392,430000
4278,1430,430000
2450,1552,430000
2500,1584,430000
3325,1632,430000
3360,1637,430000
2000,1648,430000
3605,1904,430000
2000,1972,430000
3757,1989,430000
2000,2048,430000
3664,2078,430000
4000,2262,430000
3863,2382,430000
4297,2900,430000
4500,2979,430000
1770,1016,431000
3000,1280,431205
3000,1850,431345
4000,1048,431500
4600,1376,431811
2900,1464,431998
2100,840,432475
2000,1040,432475
4000,1280,432917
1800,1224,433000
2000,1224,433000
2349,1632,433000
2500,2280,433000
4400,1142,434500
2000,820,435000
1155,833,435000
1544,864,435000
3233,924,435000
2500,974,435000
4956,975,435000
4000,1080,435000
3700,1120,435000
1800,1224,435000
5688,1248,435000
2542,1344,435000
3680,1391,435000
4000,1421,435000
4000,1448,435000
3800,1449,435000
3300,1558,435000
2000,1600,435000
10044,1682,435000
10044,1682,435000
3000,1960,435000
4700,1998,435000
4000,2315,435000
3687,1256,436020
1980,1600,436020
4000,1762,436020
5550,2000,436020
2045,1016,436500
2066,1090,436527
4000,1812,437000
1960,1152,437500
4000,1444,437500
2500,940,438000
2400,992,438000
6000,1344,438000
1600,1358,438000
2400,1712,438000
2400,1328,438500
6500,1044,439000
3610,1260,439000
2000,1200,439726
1900,646,440000
4000,840,440000
2000,882,440000
2000,882,440000
2000,924,440000
2000,995,440000
4000,1000,440000
6000,1048,440000
4360,1063,440000
2400,1096,440000
4000,1098,440000
2400,1118,440000
1600,1160,440000
2156,1280,440000
4000,1314,440000
3200,1392,440000
4000,1425,440000
2375,1443,440000
5520,1523,440000
2200,1638,440000
2200,1683,440000
2500,1925,440000
3052,2350,440000
2800,1800,441000
904,1032,441333
3430,1512,441500
4300,1836,441750
2000,868,442000
5000,1080,442500
2569,1070,442515
3400,1160,442680
2167,955,442900
4000,1050,443019
2500,1488,443281
1439,952,444100
3142,1911,444272
2760,1440,444834
2000,928,445000
4000,1020,445000
2375,1136,445000
2436,1224,445000
2000,1304,445000
2400,1440,445000
2280,1600,445000
1558,1710,445000
2490,1615,445129
5000,2558,446460
2088,992,446930
2000,1120,447000
4229,1166,447000
4200,1544,447000
2000,800,448000
2500,1012,448657
3646,812,449000
5000,890,449000
3000,1854,449000
4000,2020,449400
2142,798,449900
3000,560,450000
4024,774,450000
2000,784,450000
2000,840,450000
2000,896,450000
4000,915,450000
2100,952,450000
3893,984,450000
4000,1020,450000
5200,1025,450000
3000,1026,450000
3960,1031,450000
2342,1032,450000
2100,1050,450000
4000,1094,450000
4000,1116,450000
2825,1136,450000
4000,1150,450000
2400,1152,450000
3552,1152,450000
2000,1200,450000
2000,1200,450000
2813,1202,450000
4000,1203,450000
3283,1206,450000
3610,1214,450000
5080,1220,450000
1902,1240,450000
2400,1249,450000
2200,1264,450000
2000,1280,450000
2400,1280,450000
3060,1280,450000
4000,1286,450000
3000,1300,450000
3142,1316,450000
3926,1320,450000
