LAND SQUARE FEET,GROSS SQUARE FEET, SALE PRICE 
2000,1184,470000
1625,1200,470000
3000,1224,470000
2502,1256,470000
2300,1264,470000
2375,1264,470000
4603,1298,470000
2000,1305,470000
3000,1328,470000
3200,1331,470000
4640,1344,470000
2917,1458,470000
3000,1470,470000
2880,1490,470000
3200,1496,470000
2400,1540,470000
2567,1600,470000
4000,1625,470000
1800,1683,470000
2466,1831,470000
2150,2685,470000
2480,1152,470710
2808,1065,471000
2132,1122,471000
2650,1566,471510
4000,1770,471510
3480,1440,473000
4000,1008,473538
1600,1152,473576
1800,936,473800
2250,1692,474587
2000,736,475000
2255,756,475000
1600,888,475000
1900,926,475000
2595,946,475000
2000,974,475000
2000,992,475000
5000,1044,475000
2007,1072,475000
2650,1120,475000
1600,1140,475000
1800,1224,475000
2500,1248,475000
3000,1274,475000
2500,1276,475000
1980,1311,475000
3000,1365,475000
5000,1394,475000
3190,1424,475000
2000,1485,475000
2000,1536,475000
2125,1581,475000
4000,1608,475000
3125,1688,475000
2850,1824,475000
3000,1908,475000
4000,2020,475000
4400,2366,475000
2075,3640,475000
2994,1216,475751
4000,1000,476000
2226,1808,476500
3940,2370,476500
5272,2682,476580
2900,1520,476609
3800,540,477000
2300,924,477000
1365,1155,477500
2500,1344,477655
1600,938,478000
4000,1432,478000
3000,1486,478000
2200,902,478500
4000,1906,478750
1282,448,478900
9385,1460,478950
1978,1056,478969
3133,1200,479000
1555,1440,479000
2000,2080,479000
4000,1096,479381
4500,1025,479500
1520,708,480000
3108,830,480000
2000,868,480000
4000,880,480000
2200,924,480000
2325,968,480000
2000,975,480000
2500,1020,480000
3600,1045,480000
1829,1048,480000
2500,1056,480000
2800,1120,480000
4000,1145,480000
1526,1164,480000
3342,1200,480000
3117,1214,480000
3000,1248,480000
3300,1254,480000
2500,1276,480000
2500,1280,480000
3000,1284,480000
1860,1320,480000
3820,1356,480000
2375,1368,480000
2250,1376,480000
2400,1430,480000
4060,1456,480000
2000,1460,480000
1888,1476,480000
2375,1552,480000
3424,1608,480000
4000,1620,480000
3900,1638,480000
1034,1900,480000
2500,2120,480000
3803,2140,480000
2364,2430,480000
4000,2465,480000
1580,2580,480000
3300,1480,481822
2100,1050,481920
2800,1216,482400
2000,896,482500
1700,1712,482500
6000,2400,482500
2000,1120,483000
3000,1148,483000
2000,2695,483678
2000,896,484000
3600,1000,484000
3000,1690,484500
1024,864,485000
2000,896,485000
4000,924,485000
4400,945,485000
3840,952,485000
1500,1024,485000
1900,1045,485000
2160,1056,485000
2200,1117,485000
1867,1134,485000
3000,1170,485000
2000,1200,485000
4000,1230,485000
2518,1240,485000
4000,1295,485000
2883,1304,485000
5000,1326,485000
4000,1356,485000
2000,1398,485000
2000,1420,485000
2500,1504,485000
2000,1520,485000
4000,1586,485000
2500,1689,485000
2200,1716,485000
3000,1764,485000
4000,2400,485000
2375,2610,485000
2500,1216,485656
3000,1980,486432
2000,1232,486720
2800,1404,486720
6000,2420,486720
3300,1074,487000
2000,1496,487000
5207,1870,487000
1000,770,487500
1760,1444,487500
2000,1600,487500
2170,952,487600
2320,1120,488000
4000,2287,489000
3200,1300,489700
4000,840,490000
2075,854,490000
1544,864,490000
2000,868,490000
2000,868,490000
2000,876,490000
2000,896,490000
2300,1008,490000
2000,1042,490000
5461,1050,490000
2000,1054,490000
2500,1088,490000
2001,1100,490000
2500,1132,490000
2960,1144,490000
3425,1156,490000
1849,1195,490000
2000,1200,490000
2500,1216,490000
1800,1224,490000
2425,1224,490000
2442,1264,490000
2500,1296,490000
3000,1380,490000
4400,1420,490000
2967,1430,490000
1082,1468,490000
2142,1584,490000
6361,2107,490000
1995,2200,490000
4000,2214,490000
4000,2366,490000
7225,2400,490000
2522,3235,490000
4000,948,490231
1880,1312,490500
2080,880,492000
2000,896,492000
4000,960,492000
1800,1296,492000
5000,2024,492000
1655,704,492500
2800,992,493000
3000,1360,493000
3000,1514,493000
2143,1989,493000
1544,3552,493600
2002,2160,494022
2000,725,495000
2000,784,495000
2000,820,495000
2088,868,495000
1250,896,495000
2000,896,495000
2142,930,495000
4550,1020,495000
2100,1054,495000
2142,1065,495000
3500,1092,495000
3600,1120,495000
5400,1125,495000
2650,1152,495000
2664,1168,495000
960,1200,495000
2600,1224,495000
4000,1248,495000
3250,1276,495000
1692,1280,495000
6000,1296,495000
2500,1298,495000
1340,1314,495000
3926,1330,495000
1995,1344,495000
2058,1344,495000
2500,1466,495000
2541,1476,495000
2300,1568,495000
4000,1725,495000
2400,2114,495000
6875,3155,495000
2320,2294,495619
2500,1024,497062
3023,1820,497500
2500,896,498000
4000,970,498000
5000,1100,498000
1565,950,498200
3515,1248,498200
2933,1536,498750
2926,874,499000
4000,1000,499000
1848,1054,499000
4000,1056,499000
1800,1224,499000
2600,1368,499000
2042,1400,499000
1729,1640,499000
2000,1648,499000
1980,1678,499000
1792,1944,499000
13920,2053,499000
4290,2086,499000
4000,2112,499000
4375,2180,499000
1568,2520,499000
2141,3180,499000
2000,812,499500
2675,1014,499500
2000,914,499550
3130,1204,499990
7128,1278,499990
1900,756,499999
2850,797,499999
2000,952,499999
2500,1065,499999
4200,1393,499999
2500,614,500000
3442,704,500000
2100,812,500000
1988,868,500000
1878,896,500000
2600,896,500000
2000,966,500000
4028,1006,500000
1700,1054,500000
2500,1086,500000
4497,1092,500000
1313,1104,500000
2000,1106,500000
4000,1110,500000
2521,1136,500000
3000,1142,500000
3450,1147,500000
6000,1168,500000
4025,1182,500000
1566,1188,500000
2491,1188,500000
2500,1200,500000
4000,1203,500000
2002,1216,500000
1906,1217,500000
1800,1224,500000
2300,1224,500000
2500,1248,500000
1800,1260,500000
2300,1260,500000
3375,1272,500000
2400,1280,500000
3060,1280,500000
6302,1281,500000
2000,1300,500000
2000,1304,500000
2000,1305,500000
3997,1308,500000
2050,1312,500000
2167,1316,500000
2850,1326,500000
3000,1338,500000
5000,1344,500000
3000,1368,500000
2000,1400,500000
4000,1440,500000
1452,1448,500000
10888,1504,500000
1500,1512,500000
3030,1520,500000
3000,1528,500000
4000,1530,500000
2429,1536,500000
5000,1562,500000
2470,1568,500000
4000,1570,500000
6420,1570,500000
3874,1608,500000
2800,1620,500000
2000,1622,500000
1640,1660,500000
4096,1684,500000
1680,1736,500000
1760,1748,500000
2500,1760,500000
1900,1800,500000
2525,1840,500000
2600,1852,500000
3096,1880,500000
3500,1890,500000
1380,1944,500000
4000,1968,500000
2798,1984,500000
3500,2000,500000
2500,2016,500000
2000,2060,500000
2017,2128,500000
2595,2136,500000
2969,2150,500000
2420,2320,500000
6000,2484,500000
4725,2497,500000
2142,2600,500000
1967,2650,500000
2020,2750,500000
7500,2776,500000
10752,3198,500000
2900,3265,500000
5054,3632,500000
3880,4500,500000
2000,1320,500571
4000,1196,501000
3000,1440,501500
1390,1500,501930
3700,1936,501930
2000,1542,502000
2000,1600,502000
2000,1248,503778
3650,1294,504972
2500,630,505000
4000,734,505000
1710,760,505000
2925,784,505000
2200,902,505000
3280,945,505000
1000,960,505000
3000,1026,505000
1940,1120,505000
1955,1140,505000
3038,1172,505000
4000,1200,505000
5141,1210,505000
1800,1224,505000
2511,1248,505000
3188,1264,505000
2100,1312,505000
3142,1344,505000
3142,1360,505000
4000,1527,505000
1266,1530,505000
2500,1620,505000
2161,1688,505000
3000,1688,505000
2100,1752,505000
1716,1840,505000
3240,1890,505000
4000,1200,507000
4200,1824,507000
2450,868,507500
3000,1035,507500
2000,1020,508000
1950,1206,508000
3600,1284,508000
2430,1727,508000
3000,980,508247
3000,1082,508800
4529,980,509000
1888,1264,509000
2400,2200,509000
2959,1188,509900
2604,500,510000
2300,730,510000
2000,832,510000
2158,861,510000
2200,880,510000
2000,896,510000
2500,896,510000
2000,914,510000
2200,946,510000
2675,1014,510000
1780,1036,510000
2000,1040,510000
1600,1048,510000
3600,1096,510000
4000,1101,510000
2200,1102,510000
1710,1140,510000
2000,1140,510000
2500,1141,510000
2600,1152,510000
2000,1170,510000
3000,1187,510000
1800,1224,510000
2081,1224,510000
2000,1232,510000
3600,1250,510000
2886,1264,510000
2500,1280,510000
2400,1296,510000
4000,1304,510000
4000,1344,510000
5000,1383,510000
2500,1396,510000
2000,1420,510000
2500,1424,510000
2000,1496,510000
3000,1550,510000
3000,1551,510000
5000,1578,510000
2018,1607,510000
2500,1620,510000
1800,1683,510000
3900,1728,510000
3325,1743,510000
3000,1750,510000
2850,1782,510000
1200,1800,510000
3183,1931,510000
4005,1974,510000
2500,2040,510000
4000,2532,510000
1600,1024,510500
2500,1908,510526
2000,1018,512000
2600,1024,512000
1953,1280,512000
3270,1863,512000
2800,1632,512150
1617,1312,512180
3000,1440,512500
2100,1001,513555
5000,2552,513975
1900,1280,514215
2547,1214,514216
4000,1521,514216
4840,1750,514250
2628,1448,514500
1904,898,515000
4000,1020,515000
4680,1031,515000
2350,1065,515000
2500,1088,515000
2758,1094,515000
3900,1138,515000
3958,1144,515000
4814,1162,515000
1943,1164,515000
4300,1168,515000
5000,1205,515000
2610,1208,515000
2000,1216,515000
1800,1224,515000
3000,1224,515000
2408,1280,515000
1800,1296,515000
1890,1300,515000
3900,1323,515000
3597,1404,515000
1600,1440,515000
3900,1440,515000
3900,1500,515000
2000,1530,515000
2500,1576,515000
2400,1580,515000
2000,1600,515000
2406,1632,515000
2200,1980,515000
5433,2093,515000
2950,2250,515000
2558,2464,515000
2378,2499,515000
1800,1683,515235
4466,1492,516000
3000,2112,516269
1984,1408,517000
1800,1683,517000
3000,2464,517500
5010,3388,517500
2400,1288,518000
4000,1490,518000
1775,1780,518000
1980,1386,518340
2542,1104,519308
3006,2184,519400
2400,1296,519540
1800,795,520000
1976,840,520000
2142,861,520000
3960,999,520000
2325,1072,520000
4032,1086,520000
1625,1116,520000
5222,1120,520000
2200,1148,520000
3780,1163,520000
1980,1168,520000
1820,1170,520000
2000,1200,520000
4000,1215,520000
1800,1224,520000
1800,1224,520000
1600,1232,520000
2610,1240,520000
2500,1260,520000
3325,1260,520000
2500,1263,520000
2400,1264,520000
2500,1280,520000
3900,1290,520000
3045,1296,520000
3133,1296,520000
2500,1320,520000
2717,1326,520000
3000,1344,520000
1600,1364,520000
2000,1408,520000
3851,1456,520000
1600,1492,520000
2958,1512,520000
1700,1530,520000
2000,1536,520000
2500,1552,520000
5700,1588,520000
2000,1600,520000
1355,1630,520000
2500,1646,520000
2376,1648,520000
3000,1672,520000
3000,1672,520000
2925,1760,520000
3971,1841,520000
2725,1848,520000
4000,1860,520000
2844,2060,520000
4551,2224,520000
2968,2310,520000
2342,2352,520000
3208,1074,520325
2350,1065,521000
2600,784,522000
3640,1334,522500
2000,1584,522500
2500,1576,522835
2800,1010,523000
2280,1248,523000
2020,2080,523000
3654,1547,524280
4400,1890,524399
5573,1800,524600
3301,2000,524605
1513,1650,524700
2675,750,525000
2025,784,525000
4000,880,525000
1742,952,525000
2000,975,525000
3117,996,525000
1650,1014,525000
4000,1025,525000
2185,1040,525000
2000,1056,525000
2600,1104,525000
4000,1111,525000
2000,1120,525000
4520,1125,525000
1600,1152,525000
1782,1152,525000
1900,1163,525000
2500,1184,525000
4000,1216,525000
2700,1224,525000
4000,1224,525000
1393,1232,525000
3300,1232,525000
3000,1250,525000
4000,1250,525000
2100,1264,525000
4000,1265,525000
2017,1296,525000
4704,1298,525000
2000,1384,525000
2500,1392,525000
3000,1430,525000
2000,1440,525000
3450,1440,525000
2000,1508,525000
1056,1528,525000
3000,1580,525000
2550,1608,525000
2266,1785,525000
1885,1800,525000
3400,1844,525000
1765,1944,525000
2180,2200,525000
1991,3078,525000
1800,1700,525038
2800,1024,525300
3675,964,525773
5000,2056,526000
4000,880,526500
2400,1358,527260
1430,1305,527500
1232,1432,527500
2500,2004,527500
4000,600,528000
2200,946,528000
2142,1170,528000
1900,1216,528000
2117,2185,528000
1615,952,529000
3000,1088,529000
1664,1156,529000
2000,1420,529000
4000,1046,529970
2000,784,530000
2000,868,530000
2000,900,530000
4000,940,530000
4000,1050,530000
2500,1080,530000
2100,1106,530000
2133,1165,530000
2000,1168,530000
2000,1200,530000
1800,1224,530000
2000,1225,530000
2007,1248,530000
2400,1248,530000
2550,1252,530000
3264,1276,530000
2142,1280,530000
2300,1280,530000
2500,1312,530000
3000,1321,530000
3200,1342,530000
4000,1350,530000
3400,1420,530000
3000,1530,530000
2342,1536,530000
2500,1536,530000
5900,1594,530000
3000,1688,530000
1824,1764,530000
3000,1764,530000
2800,1852,530000
3537,1886,530000
3920,1920,530000
2659,2040,530000
4772,2065,530000
2558,2252,530000
4000,2754,530000
2246,3519,530000
3198,4108,530000
2100,1636,530450
2900,1613,532500
3550,1170,533000
2500,1458,534000
2625,1380,534581
4494,768,535000
2200,868,535000
2886,882,535000
1981,924,535000
1800,936,535000
2500,960,535000
3300,960,535000
4000,984,535000
3211,1125,535000
1600,1128,535000
2005,1140,535000
1948,1150,535000
4000,1175,535000
2567,1184,535000
4000,1201,535000
3800,1209,535000
1800,1224,535000
2400,1248,535000
2521,1248,535000
1830,1267,535000
2850,1278,535000
2300,1280,535000
3000,1280,535000
4000,1321,535000
2000,1336,535000
3200,1352,535000
3082,1546,535000
2433,1568,535000
2000,1600,535000
2700,1656,535000
4000,1666,535000
2040,1680,535000
3300,1688,535000
4312,1726,535000
3442,1728,535000
2652,1760,535000
2000,1856,535000
2950,1892,535000
4400,2301,535000
7091,2504,535132
2000,1360,535500
3000,1091,535600
2523,1348,535600
2700,815,536000
3350,1430,536000
2000,3600,536000
2850,732,537000
3000,1440,537000
1575,1216,537500
3000,1324,537500
1107,136,538175
1199,896,539000
2808,1024,539000
4158,1125,539000
2000,1152,539000
2193,1280,539000
2375,1296,539000
2000,1600,539000
5934,2229,539000
3032,2340,539000
1982,2800,539000
5000,1099,539673
2000,1312,539766
1900,1165,539900
2000,882,540000
2296,896,540000
2000,994,540000
2500,1000,540000
4275,1000,540000
4575,1044,540000
2300,1048,540000
2700,1060,540000
3300,1110,540000
4000,1125,540000
1808,1152,540000
1980,1168,540000
4000,1200,540000
2000,1216,540000
2500,1216,540000
1980,1230,540000
2500,1243,540000
2350,1248,540000
3640,1266,540000
3242,1280,540000
3960,1296,540000
2000,1328,540000
2090,1388,540000
2242,1392,540000
3000,1400,540000
2000,1424,540000
2000,1440,540000
2375,1440,540000
2520,1446,540000
4000,1500,540000
2242,1528,540000
2000,1568,540000
2850,1592,540000
2900,1596,540000
2000,1600,540000
2500,1600,540000
2950,1620,540000
2542,1634,540000
3200,1654,540000
4000,1668,540000
3000,1672,540000
3232,1680,540000
2300,1700,540000
3000,1715,540000
4000,1750,540000
2882,1800,540000
5000,1828,540000
3150,1924,540000
2000,2080,540000
3760,1350,540425
3717,2350,540645
4000,1184,540750
3750,1120,541500
2000,1228,541530
3000,1250,541660
3300,1272,542000
2000,1440,542500
1829,1048,543000
1600,1488,543000
2311,1120,543251
2220,1648,543251
2500,1368,544000
2175,861,545000
4000,928,545000
3000,1030,545000
2542,1104,545000
4000,1110,545000
6510,1125,545000
3532,1140,545000
2450,1148,545000
1600,1168,545000
4071,1170,545000
3106,1173,545000
1557,1200,545000
1857,1216,545000
2125,1256,545000
2800,1292,545000
2003,1293,545000
1600,1312,545000
2007,1312,545000
4000,1320,545000
4000,1325,545000
4000,1350,545000
2000,1410,545000
4000,1430,545000
2706,1446,545000
2600,1488,545000
3000,1488,545000
2700,1522,545000
2340,1536,545000
4000,1564,545000
2400,1568,545000
7315,1571,545000
2817,1600,545000
4000,1950,545000
4000,2027,545000
2136,2124,545000
3800,2200,545273
6000,1773,545425
4925,2450,545900
4000,858,546000
2088,1164,546000
1739,1696,546000
2000,1216,547000
3000,1496,547500
2600,1200,548000
2414,1464,548000
3900,1488,548000
4000,1094,548500
2500,896,549000
4000,1140,549000
3000,1152,549000
3000,1188,549000
5106,1865,549000
2280,1280,549855
3588,1440,549999
3610,576,550000
2500,765,550000
3000,915,550000
4142,952,550000
4000,965,550000
2098,992,550000
1950,1018,550000
4017,1020,550000
4000,1054,550000
1500,1056,550000
5217,1059,550000
1800,1080,550000
1800,1080,550000
2500,1088,550000
2000,1092,550000
1600,1120,550000
4000,1125,550000
1800,1144,550000
1600,1152,550000
3910,1163,550000
2240,1215,550000
1900,1216,550000
2600,1216,550000
2800,1216,550000
2280,1217,550000
2300,1234,550000
2610,1240,550000
3000,1250,550000
6200,1253,550000
5976,1256,550000
2987,1260,550000
2500,1275,550000
2000,1280,550000
2500,1280,550000
2500,1280,550000
2600,1280,550000
1512,1290,550000
2500,1292,550000
2500,1308,550000
1860,1328,550000
2125,1343,550000
2500,1344,550000
1600,1361,550000
6272,1364,550000
1900,1376,550000
5100,1376,550000
2500,1388,550000
2600,1394,550000
2220,1395,550000
2600,1410,550000
3610,1434,550000
1406,1440,550000
4200,1440,550000
1500,1466,550000
2000,1490,550000
3000,1501,550000
4000,1505,550000
4190,1534,550000
1900,1539,550000
2500,1550,550000
2378,1594,550000
3000,1624,550000
1916,1672,550000
3094,1860,550000
4800,1880,550000
4800,1881,550000
4000,1932,550000
3861,1956,550000
2352,1960,550000
8750,1965,550000
3600,1974,550000
3900,1974,550000
3800,2002,550000
2964,2025,550000
2930,2046,550000
3800,2050,550000
2000,2080,550000
3000,2088,550000
2575,2120,550000
4108,2160,550000
2000,2200,550000
3815,2244,550000
2141,3180,550000
2141,3180,550000
8000,3390,550000
2500,792,550500
3105,2116,550800
1890,1264,551000
4000,1454,551000
2800,2420,551250
2400,1152,552000
3142,1316,552000
3325,2000,552800
4200,1232,553000
3000,1296,553000
1600,1408,553000
2400,1794,553000
1575,1200,553166
2000,952,554000
2500,1280,554500
2000,760,555000
2000,816,555000
1681,902,555000
3000,925,555000
2000,960,555000
2000,960,555000
2150,992,555000
2000,1022,555000
1544,1024,555000
1920,1024,555000
1800,1032,555000
2002,1064,555000
2923,1100,555000
2000,1104,555000
1680,1120,555000
2500,1120,555000
1217,1183,555000
2000,1200,555000
2400,1200,555000
2853,1208,555000
2000,1216,555000
2500,1216,555000
5000,1218,555000
3842,1252,555000
3842,1260,555000
3060,1280,555000
4000,1283,555000
2342,1285,555000
3000,1296,555000
2000,1322,555000
3786,1328,555000
2500,1360,555000
2600,1440,555000
2910,1460,555000
4800,1512,555000
4000,1522,555000
3000,1552,555000
3000,1684,555000
4230,1748,555000
2697,2304,555000
1980,898,555488
2808,1065,555900
2705,1208,556600
3000,1596,557000
3142,1352,557500
1900,1280,558000
3744,1956,558000
4000,1263,558250
4000,1846,558260
2790,2112,558750
2000,1308,558900
4000,1084,559000
3600,1206,559000
2425,1568,559000
2320,1628,559000
2000,2280,559000
3217,1400,559019
5008,1264,559990
2125,1008,560000
2340,1008,560000
3000,1026,560000
4000,1041,560000
2000,1056,560000
2500,1120,560000
2435,1122,560000
4000,1145,560000
4000,1150,560000
2000,1152,560000
5224,1163,560000
2500,1188,560000
1600,1192,560000
4200,1200,560000
2650,1213,560000
1472,1214,560000
2156,1224,560000
3556,1224,560000
3000,1230,560000
1712,1272,560000
3000,1284,560000
2802,1288,560000
2338,1296,560000
2521,1300,560000
2000,1305,560000
1943,1328,560000
2500,1344,560000
4000,1350,560000
2521,1356,560000
2266,1360,560000
3300,1360,560000
5000,1394,560000
2300,1427,560000
2800,1428,560000
1760,1440,560000
2033,1440,560000
4000,1486,560000
4000,1492,560000
4000,1496,560000
2000,1504,560000
4000,1512,560000
2900,1526,560000
2400,1552,560000
3810,1552,560000
2817,1600,560000
3000,1640,560000
2066,1660,560000
3300,1700,560000
1257,1706,560000
5000,1828,560000
3375,1840,560000
2000,1912,560000
4000,2012,560000
4816,2732,560000
7500,1280,560038
4500,1650,560038
2000,1968,560038
4000,2200,560038
1400,2400,560038
1947,1120,561000
2346,1152,561000
4000,1262,561500
3054,2000,561632
3042,1700,561750
2500,1344,561800
1920,1024,562000
2500,1184,562000
4000,1204,562000
2640,1436,562000
1806,1575,562710
1800,936,563000
1800,1224,563000
1900,992,564000
1820,1781,564440
2193,1054,565000
3000,1056,565000
2500,1080,565000
2600,1120,565000
4000,1121,565000
3185,1122,565000
3896,1144,565000
2500,1168,565000
2296,1170,565000
3100,1190,565000
2300,1198,565000
4000,1200,565000
2000,1216,565000
2500,1256,565000
3325,1260,565000
2017,1264,565000
2150,1264,565000
3750,1264,565000
3060,1280,565000
2000,1296,565000
2500,1296,565000
2000,1326,565000
2500,1328,565000
2000,1329,565000
3000,1365,565000
2542,1368,565000
2000,1412,565000
4000,1422,565000
1600,1432,565000
2000,1472,565000
3800,1479,565000
4000,1500,565000
2000,1552,565000
2500,1700,565000
2675,1735,565000
1600,1744,565000
3000,1746,565000
6000,1760,565000
4000,1916,565000
2200,1960,565000
1800,1968,565000
4000,1984,565000
2800,2240,565000
4013,2500,565000
2875,2542,565000
4000,2366,565500
4000,1260,566000
1470,700,566509
1521,1284,567000
2500,1568,567000
1735,946,567500
2200,968,568000
3600,1440,568500
4600,1080,569000
2000,1420,569000
2900,1624,569000
3996,1080,569500
1920,1010,569512
4000,1344,569999
2550,784,570000
2100,812,570000
1600,960,570000
4116,1100,570000
2375,1150,570000
2400,1152,570000
3000,1156,570000
2000,1170,570000
4000,1212,570000
5000,1215,570000
2600,1224,570000
2502,1248,570000
4000,1250,570000
3000,1254,570000
2106,1272,570000
2000,1280,570000
2500,1320,570000
1600,1329,570000
4000,1334,570000
2565,1370,570000
3200,1372,570000
2000,1376,570000
2800,1376,570000
4000,1376,570000
4281,1384,570000
2500,1391,570000
4000,1503,570000
2000,1544,570000
4000,1632,570000
2650,1638,570000
2521,1660,570000
2500,1800,570000
3200,1835,570000
3100,1880,570000
6097,1920,570000
4000,1932,570000
4000,1956,570000
7290,2187,570000
3040,2373,570000
5000,1755,570220
2000,952,572000
3900,1006,572400
2800,1376,572400
4000,1089,572917
4400,770,573000
4000,1020,573000
2800,1345,573000
1650,1372,573000
2000,1248,574000
3450,1440,574178
4100,1127,574560
2328,1336,574847
1180,671,575000
4180,995,575000
2619,996,575000
3800,1010,575000
4950,1040,575000
3100,1056,575000
4000,1080,575000
4500,1125,575000
1600,1128,575000
2267,1136,575000
1843,1152,575000
4200,1160,575000
1700,1185,575000
1800,1200,575000
1710,1215,575000
1800,1224,575000
1340,1248,575000
3560,1252,575000
4000,1281,575000
1900,1312,575000
2017,1316,575000
2100,1316,575000
4000,1316,575000
3000,1330,575000
4202,1350,575000
3200,1352,575000
2400,1368,575000
1180,1400,575000
3000,1424,575000
4000,1442,575000
2000,1460,575000
2900,1464,575000
2200,1476,575000
5297,1496,575000
2500,1505,575000
2942,1544,575000
2500,1568,575000
2500,1570,575000
3000,1606,575000
2000,1616,575000
2580,1640,575000
3325,1647,575000
1889,1683,575000
2800,1683,575000
2375,1716,575000
3000,1720,575000
2617,1920,575000
4000,1941,575000
3000,2084,575000
5206,2100,575000
3500,2150,575000
4000,2292,575000
6703,2464,575000
2490,2500,575000
3800,3132,575000
2400,3280,575000
3000,1800,576300
3000,1800,576300
2000,1616,576585
4000,1756,577000
4000,2307,577000
2925,1358,577315
2460,1192,578000
2484,1360,578000
3200,1416,578000
2400,1640,578000
2525,992,578500
2840,1060,578500
4200,2100,578875
3000,1088,579000
2400,1120,579000
4433,1222,579000
2184,1392,579000
2420,2420,579000
2000,860,580000
3800,882,580000
2500,885,580000
2700,960,580000
4000,999,580000
4000,1025,580000
3400,1035,580000
1600,1120,580000
1997,1120,580000
2880,1128,580000
2000,1170,580000
2800,1178,580000
3264,1192,580000
2940,1200,580000
3044,1200,580000
2000,1216,580000
4000,1232,580000
4000,1242,580000
3680,1268,580000
2106,1280,580000
2280,1296,580000
1700,1304,580000
2500,1312,580000
3400,1314,580000
3008,1320,580000
5000,1326,580000
2520,1372,580000
3000,1386,580000
1943,1408,580000
2042,1420,580000
5401,1420,580000
3752,1430,580000
6000,1432,580000
2600,1472,580000
2521,1476,580000
5185,1520,580000
4000,1544,580000
2600,1584,580000
3000,1597,580000
1560,1600,580000
2500,1602,580000
2650,1616,580000
3750,1624,580000
2523,1632,580000
2800,1665,580000
2500,1692,580000
4000,1739,580000
3960,1746,580000
4000,1764,580000
2000,1800,580000
4000,1804,580000
7253,1820,580000
4000,1840,580000
1509,1890,580000
2521,1938,580000
3720,2024,580000
4900,2444,580000
3696,2560,580000
1907,2642,580000
4000,3130,580000
4000,4070,580000
2100,1400,581600
2158,1156,581880
2521,1216,582000
3300,1360,582000
2502,2096,582000
2400,862,582500
2900,1136,582500
1600,1128,583000
3000,1486,583000
2000,1504,583000
2000,1530,583177
4725,1012,583500
2073,1280,583750
2000,1505,584495
3760,758,585000
2500,864,585000
3000,1035,585000
3142,1040,585000
2000,1050,585000
2300,1056,585000
2408,1088,585000
3000,1106,585000
3800,1116,585000
2500,1120,585000
2600,1136,585000
3080,1164,585000
1584,1176,585000
2567,1184,585000
1916,1200,585000
4078,1216,585000
4000,1220,585000
1620,1224,585000
2099,1224,585000
2600,1232,585000
2400,1234,585000
3200,1284,585000
7843,1300,585000
2300,1302,585000
3142,1340,585000
2375,1344,585000
2500,1380,585000
2500,1396,585000
5075,1502,585000
3800,1506,585000
2500,1552,585000
2500,1552,585000
2500,1552,585000
1840,1616,585000
2100,1636,585000
2600,1648,585000
4000,1716,585000
3000,1772,585000
4467,2232,585000
1900,1260,585375
2900,1838,585494
3000,1860,585494
3336,2300,585494
3400,1652,586000
2250,2950,586394
2500,1494,587000
2200,896,587100
2300,1138,588000
3300,1152,588000
1940,1314,588000
2000,1366,588000
5000,1496,588000
3168,1968,588300
4095,1610,589000
5000,1892,589500
3300,882,589888
2500,1346,589900
1588,844,589944
1940,800,590000
4000,988,590000
4000,990,590000
4000,1063,590000
4000,1064,590000
4000,1092,590000
1802,1116,590000
2425,1122,590000
2456,1152,590000
2200,1168,590000
1942,1184,590000
2700,1184,590000
2342,1188,590000
2650,1212,590000
1943,1216,590000
2600,1216,590000
5644,1224,590000
2400,1280,590000
2725,1280,590000
3000,1292,590000
2000,1296,590000
1920,1325,590000
3500,1364,590000
2500,1400,590000
3000,1408,590000
2000,1440,590000
2000,1456,590000
5000,1496,590000
4000,1512,590000
3060,1538,590000
2500,1560,590000
2000,1600,590000
4400,1610,590000
2500,1642,590000
2000,1658,590000
5000,1690,590000
2100,1752,590000
2600,1788,590000
2701,1907,590000
3900,2000,590000
4000,2050,590000
3400,2320,590000
2105,2360,590000
3907,2506,590000
2548,2640,590000
2548,1170,591000
2500,1500,591000
1781,1065,592000
3600,1409,592000
4000,950,593000
2400,1268,593000
3965,1440,593000
2675,2520,593000
2000,1232,593386
1842,1312,593500
3498,1125,593600
2500,1518,593600
2700,677,594205
4000,900,595000
3000,1023,595000
2465,1056,595000
1840,1082,595000
5051,1112,595000
2000,1170,595000
1980,1230,595000
1940,1280,595000
2400,1280,595000
2912,1280,595000
2000,1352,595000
4500,1395,595000
4000,1452,595000
3135,1492,595000
2128,1514,595000
2862,1528,595000
4000,1566,595000
4000,1582,595000
2000,1600,595000
2000,1760,595000
3883,1802,595000
3800,2060,595000
3000,1456,595195
4000,1149,597400
1900,1260,597938
3500,1038,598000
2000,1400,598000
2625,1448,598000
3850,1125,598142
2000,1014,599000
2100,1056,599000
4000,1140,599000
3000,1152,599000
4082,1213,599000
2500,1248,599000
3000,1256,599000
1600,1312,599000
2500,1360,599000
2614,1486,599000
2200,1694,599000
4770,1762,599000
1800,795,600000
3820,893,600000
4000,952,600000
1461,996,600000
5580,1000,600000
2500,1020,600000
1980,1080,600000
1876,1088,600000
3840,1092,600000
4000,1094,600000
2311,1120,600000
2662,1128,600000
2375,1136,600000
3926,1136,600000
4890,1148,600000
3085,1188,600000
4600,1188,600000
4000,1215,600000
1920,1216,600000
2500,1216,600000
2139,1224,600000
