BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,177,,A2,59 PINE TERRACE,,10312,1,0,1,"6,000","1,346",1960,1,A2,"635,000",2020/2/6
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,183,,A2,47 PINE TERRACE,,10312,1,0,1,"4,500","1,638",1960,1,A2,"701,000",2019/10/2
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,255,,A1,39 FURMAN STREET,,10312,1,0,1,"4,000","2,224",1970,1,A1,"550,000",2019/11/26
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6251,90,,A1,14 DOWNES AVENUE,,10312,1,0,1,"8,000","2,250",1985,1,A1,0,2019/7/1
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6252,1,,A2,87 DOWNES AVENUE,,10312,1,0,1,"4,000","2,200",1974,1,A2,"690,000",2019/8/19
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6252,35,,A1,126 SOUTH RAILROAD ST,,10312,1,0,1,"5,110","2,400",1992,1,A1,"710,000",2020/1/16
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6254,12,,A2,116 NORTH RAILROAD STREET,,10312,1,0,1,"4,000","1,222",1970,1,A2,"515,000",2019/6/17
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6260,14,,A2,242 EDGEGROVE AVENUE,,10312,1,0,1,"4,000","1,092",1955,1,A2,"535,000",2019/11/22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6260,42,,A2,132 JEFFERSON BOULEVARD,,10312,1,0,1,"7,350",912,1940,1,A2,"465,000",2019/10/8
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6261,67,,A2,253 EDGEGROVE AVENUE,,10312,1,0,1,"4,000","1,260",1925,1,A2,"430,000",2020/1/10
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6267,9,,A1,313 SHELDON AVENUE,,10312,1,0,1,"8,000","1,800",1945,1,A1,"1,189,802",2019/11/19
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6268,11,,A2,274 STAFFORD AVENUE,,10312,1,0,1,"3,800","1,008",1970,1,A2,0,2019/11/21
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6269,56,,A1,257 STAFFORD AVENUE,,10312,1,0,1,"10,900","2,065",1980,1,A1,0,2020/1/22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6272,19,,A1,14 CANTON AVENUE,,10312,1,0,1,"3,960","2,267",2017,1,A1,"870,000",2019/9/27
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6273,22,,A1,16 HOLCOMB AVENUE,,10312,1,0,1,"4,000","1,690",1945,1,A1,"575,000",2019/7/26
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6278,92,,A1,354 BELFIELD AVENUE,,10312,1,0,1,"3,900","2,325",1970,1,A1,0,2019/9/6
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6298,43,,A2,443 LAMONT AVENUE,,10312,1,0,1,"8,000","1,816",1970,1,A2,0,2019/7/17
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6303,68,,A1,141 DELMAR AVENUE,,10312,1,0,1,"6,000","2,976",1977,1,A1,"900,000",2019/9/13
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6320,32,,A1,153 DOWNES AVENUE,,10312,1,0,1,"4,000","2,250",1965,1,A1,0,2020/3/18
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6350,26,,A3,132 BENNETT PLACE,,10312,1,0,1,"9,975","4,936",1989,1,A3,"1,687,000",2019/11/26
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6352,40,,A3,68 BAYVIEW TERRACE,,10312,1,0,1,"11,721","8,200",1992,1,A3,100,2019/6/18
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6354,9,,A1,104 RYAN PLACE,,10312,1,0,1,"4,000","2,100",1995,1,A1,"895,000",2019/11/11
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6361,82,,A1,160 LENZIE STREET,,10312,1,0,1,"9,400","3,400",1987,1,A1,0,2019/6/22
